,Unnamed: 0,Price,Vulgewicht wassen,Volume centrifugeren,Aantal programma’s,Fabrieksgarantie,Energieverbruik per 100 cycli,Aantal toeren per minuut (nominale capaciteit),Programmaduur wassen,size,all_properties,Type apparaat_Was-droogcombinatie,Type apparaat_Wasmachine,Type belading_Voorlader,Trommelmateriaal_Kunststof,Kleur (basic)_Wit,Kleur (basic)_Zwart,Energie-efficiëntieklasse (EU 2017/1369)_B,Energie-efficiëntieklasse (EU 2017/1369)_C,Energie-efficiëntieklasse (EU 2017/1369)_D,Energie-efficiëntieklasse (EU 2017/1369)_E,Energie-efficiëntieklasse (EU 2017/1369)_F,Brand_BEKO,Brand_BOSCH,Brand_EVERGLADES,Brand_HAIER,Brand_INVENTUM,Brand_KOENIC,Brand_LG,Brand_MIELE,Brand_OK.,Brand_SAMSUNG,Brand_SHARP,Brand_SIEMENS,Brand_WHIRLPOOL
0,0.0,1149.0,8.0,70.0,14.0,2.0,47.0,1400.0,219.0,322197.60000000003,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,399.0,8.0,75.0,15.0,2.0,47.0,1400.0,186.0,280987.00500000006,12.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,2.0,399.0,8.0,72.0,15.0,2.0,62.0,1400.0,218.0,273168.0,12.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,549.0,8.0,72.0,14.0,2.0,64.39637398484825,1400.0,210.0,320400.0,9.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,4.0,649.0,9.0,72.0,15.0,2.0,66.0,1400.0,217.0,298132.89999999997,12.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,709.0,9.0,72.0,15.0,2.0,66.0,1400.0,217.0,298132.89999999997,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,6.0,552.0,8.0,72.0,15.0,2.0,62.0,1400.0,209.0,299191.36,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,699.0,9.0,72.0,22.0,2.0,63.32801976894223,1600.0,210.0,306000.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,8.0,259.0,5.0,76.0,15.0,2.0,46.23918196951183,1000.0,210.0,253500.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,9.0,599.0,8.0,72.0,22.0,2.0,73.99593199233956,1400.0,210.0,280500.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,10.0,299.0,7.0,76.0,15.0,2.0,77.0,1400.0,208.0,232645.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,11.0,499.0,8.0,72.0,15.0,2.0,62.0,1400.0,218.0,297360.0,13.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,349.0,8.0,76.0,15.0,2.0,55.0,1400.0,210.0,265853.05500000005,10.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,13.0,649.0,9.0,72.0,22.0,2.0,48.57043279988481,1400.0,210.0,280500.0,12.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,14.0,349.0,8.0,72.0,15.0,2.0,47.0,1400.0,218.0,273105.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,529.0,8.0,72.0,14.0,2.0,69.59536901713331,1400.0,210.0,280500.0,11.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,16.0,899.0,10.0,72.0,24.0,2.0,74.67555042483473,1400.0,210.0,320400.0,9.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,17.0,599.0,8.0,72.0,22.0,2.0,81.92121819043817,1400.0,210.0,280500.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,18.0,899.0,9.0,76.0,10.0,2.0,49.0,1600.0,220.0,319070.829,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,1149.0,9.0,72.0,23.0,2.0,77.22394207099646,1600.0,210.0,306000.0,15.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,20.0,499.0,8.0,70.0,14.0,2.0,55.0,1300.0,218.0,294147.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
